0,8100,1254,5,1,181.2981850781337,309.0,17,2,0,4196,978,675,3658,3144,0,0,0,0,0
0,8100,1254,5,2,190.30327306489522,463.0,31,1,0,5990,4307,6677,3695,6655,0,0,0,0,0
0,8100,1254,5,3,175.87109815089246,266.0,14,1,0,4456,5435,2682,4193,1602,0,0,0,0,0
0,8100,1254,5,4,189.42635505297199,472.0,23,1,0,7034,6100,2837,1607,7218,0,0,0,0,0
0,8100,1254,5,5,191.67386356189866,459.0,27,1,0,889,2762,6087,368,2545,0,0,0,0,0
0,8100,1254,5,6,182.66187369287013,421.0,27,1,0,5541,7461,6017,1180,6659,0,0,0,0,0
0,8100,1254,5,7,186.42959006356318,488.0,25,1,0,2225,5033,7319,8020,79,0,0,0,0,0
0,8100,1254,5,8,191.4217309023843,599.0,35,1,0,304,2245,5766,6377,346,0,0,0,0,0
0,8100,1254,5,9,186.46443777923923,350.0,19,2,0,3845,7958,2935,3833,1516,0,0,0,0,0
0,8100,1254,5,10,189.9823667250639,428.0,25,1,0,438,4606,6266,5379,7616,0,0,0,0,0
