VST-NCA,40.00805975236241,0.06643046107331821,0.3333333333333333,0
VST-CA,37.005994948213925,0.06066704459561603,0.3333333333333333,100
VST-NCA,41.00906398625756,0.06990268329554043,0.2857142857142857,0
VST-CA,42.006521232677855,0.06924130763416478,0.2857142857142857,100
VST-NCA,38.012162218386536,0.06547619047619048,0.4,0
VST-CA,39.00583155595137,0.06665249433106576,0.2857142857142857,100
VST-NCA,40.00984932377918,0.06641156462585034,0.3333333333333333,0
VST-CA,44.01711173954881,0.07414021164021163,0.4,100
VST-NCA,40.00576740581522,0.06909486016628874,0.25,0
VST-CA,41.005544678529205,0.06828703703703705,0.25,100
VST-NCA,41.007339879316866,0.07051209372637943,0.2857142857142857,0
VST-CA,39.00533249925307,0.06315665154950871,0.2857142857142857,100
VST-NCA,38.003074154695184,0.061739417989418,0.2222222222222222,0
VST-CA,39.00884365003524,0.06432350718065004,0.3333333333333333,100
VST-NCA,38.00338980226476,0.06324168556311414,0.2222222222222222,0
VST-CA,39.00447018725458,0.06364323507180651,0.2857142857142857,100
VST-NCA,39.005300642433895,0.06472978080120938,0.2857142857142857,0
VST-CA,43.012293061315205,0.07023809523809524,0.3333333333333333,100
VST-NCA,39.0119541843984,0.06557539682539683,0.4,0
VST-CA,39.0107765354932,0.06533919123204839,0.4,100
